IN THE MARKET • IN THE SHOP
EN EL MERCADO • EN LA TIENDA
English—Inglés	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética-inglés
1 have no change.	No tengo cambio.	Noh tehn-aoh kahm-bee-oh.	Ai ¡av no che-inch.
Do you sell—?	¿Venden aquí—?	Vehn-dehn ah-key—?	Du yu sel—?
1 wish to change—.	Deseo cambiar—.	Deh-seh-oh kahm-bee-ahr—.	Ai güish tu che-inch—.
Where is the beauty parlor?	¿Dónde está el salón de belleza?	Dohn-deh ehs-tah ehl sah-lohn deh beh-yeh-sah?	Juer is di b|u-ti par-lor?
Where is the barber shop?	¿Dónde está la peluquería?	Dohn-deh ehs-tah lah peh-loo-keh-ree-ah?	Juer is di bar-ber shop?
Please shave me.	Sírvase afeitarme.	Seer-vah-seh ah-fay-tahr-meh.	Plis she-iv mi.
Please trim my hair.	Sírvase cortarme el pelo.	Seer-vah-seh kohr-tahr-meh ehl peh-loh.	Plis trim mai. jer.
Please shine my shoes.	Sírvase lustrarme los zapatos.	Seer-vah-seh loos-trahr-meh los sah-pah-tohs.	Plis shain mai shus.
12
