EVERYDAY EXPRESSIONS
EXPRESIONES DE USO FRECUENTE
English—Inglés	Spanish—Español	Phonetical Pronunciation—Spanish	Pronunciación fonética-inglés
More slowly, please.	Más despacio, por favor.	Mahs dehs-pah-see-oh, pohr fah-vohr.	Mor slou-li. plis.
Repeat, please.	Repita, por favor.	Reh-pee-tah, pohr fah-vohr.	Ri-foit, plis.
Pardon me.	Perdóneme.	Pehr-doh-neh-meh.	Par-don mi.
1 don't know.	No sé.	Noh seh.	Ai dont no.
Do you know?	¿Sabe usted?	Sah-beh oos-teh?	Du yu no?
Goodbye.	Adiós.	Ah-dee-ohs.	Gud-bai.
Come here, please.	Sírvase venir acá.	Seer-vah-seh veh-neer ahkah.	Kam ¡ir, plis.
It doesn't matter.	No importa.	Noh eem-pohr-tah.	It do-sent mater. — — 17
