Object ID,Digital ID,Title,Object Title,Alternative Title,Creator,Contributor,Summary,Note,Subject,Genre,Publisher,Date,Approximate Date,Coverage Temporal,Coverage Spatial,Language,Repository,Collection Title,Collection No.,Series,Container,Rights,Standardized Rights Statement
asm0341001001,asm03410010010001001,Page 1,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010002001,Page 2,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010003001,Page 3,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010004001,Page 4,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010005001,Page 5,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010006001,Page 6,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010007001,Page 7,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010008001,Page 8,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010009001,Page 9,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010010001,Page 10,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010011001,Page 11,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001001,asm03410010010012001,Page 12,People's Republic of China : Pan Am's world tours,,,,,,,,,,,,,,,,,,,,
asm0341001002,,Hong Kong by Flying Clipper,Hong Kong by Flying Clipper,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,,,,Hong Kong (China),eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"The copyright and related rights status of this material is unknown. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/UND/1.0/
asm0341001002,asm03410010020001001,Page 1,Hong Kong by Flying Clipper,,,,,,,,,,,,,,,,,,,,
asm0341001002,asm03410010020002001,Page 2,Hong Kong by Flying Clipper,,,,,,,,,,,,,,,,,,,,
asm0341001003,,Tours inside Japan : 1954 edition,Tours inside Japan : 1954 edition,,"Pan American World Airways, Inc.",,,,,Promotional materials; Brochures;,,1953,,1950-1959,Japan,eng,University of Miami. Library. Special Collections,"Pan American World Airways, Inc. records",ASM0341,Printed Materials: Brochures and Booklets: Destinations,Box No. 1 of 1; Box Title: Brochures and Booklets: Destinations; Folder No. 2; Folder Title: Asia (2 of 3),"This material is in the public domain in the United States. The Pan Am brand remains under trademark. For additional information, please visit: https://digitalcollections.library.miami.edu/digital/custom/copyright-guidelines",http://rightsstatements.org/vocab/NoC-US/1.0/
asm0341001003,asm03410010030001001,Page 1,Tours inside Japan : 1954 edition,,,,,,,,,,,,,,,,,,,,
asm0341001003,asm03410010030002001,Page 2,Tours inside Japan : 1954 edition,,,,,,,,,,,,,,,,,,,,
